列名,电影名,上映时间,评分,主演,图片
77,穿条纹睡衣的男孩,上映时间：2008-08-28(英国),9.0,"
                主演：阿沙·巴特菲尔德,维拉·法梅加,大卫·休里斯
        ",https://p1.meituan.net/movie/d5970e36c8868a4b746c80f3b3f8a404174615.jpg@160w_220h_1e_1c
78,波西米亚狂想曲,上映时间：2019-03-22,9.4,"
                主演：拉米·马雷克,本·哈迪,约瑟夫•梅泽罗
        ",https://p1.meituan.net/movie/d94e5c3054778f6f48bff3a813b0b7cd5300998.jpg@160w_220h_1e_1c
79,重庆森林,上映时间：1994-07-14(中国香港),8.6,"
                主演：梁朝伟,王菲,金城武
        ",https://p0.meituan.net/movie/f5c02860c864f7375fe2c6237fc1deaf215307.jpg@160w_220h_1e_1c
80,素媛,上映时间：2013-10-02(韩国),9.1,"
                主演：李甄,薛耿求,严智苑
        ",https://p0.meituan.net/movie/19653e8af59cf473cd40f9ccc0658d93692304.jpg@160w_220h_1e_1c
81,天空之城,上映时间：1992-05-01,9.0,"
                主演：寺田农,鹫尾真知子,龟山助清
        ",https://p1.meituan.net/movie/ba1ed511668402605ed369350ab779d6319397.jpg@160w_220h_1e_1c
82,断背山,上映时间：2005-09-02(意大利),8.9,"
                主演：希斯·莱杰,杰克·吉伦哈尔,米歇尔·威廉姆斯
        ",https://p1.meituan.net/movie/686c2de9e4f416e592d09cb62b32f274390992.jpg@160w_220h_1e_1c
83,控方证人,上映时间：1957-12-17(美国),8.5,"
                主演：泰隆·鲍华,玛琳·黛德丽,查尔斯·劳顿
        ",https://p0.meituan.net/movie/7d94792dee7ac5964bbcbcd676a98081261728.jpg@160w_220h_1e_1c
84,蝙蝠侠：黑暗骑士,上映时间：2008-07-14(阿根廷),9.3,"
                主演：克里斯蒂安·贝尔,希斯·莱杰,阿伦·伊克哈特
        ",https://p0.meituan.net/movie/09658109acfea0e248a63932337d8e6a4268980.jpg@160w_220h_1e_1c
85,两杆大烟枪,上映时间：1998-08-28(英国),8.7,"
                主演：杰森·弗莱明,德克斯特·弗莱彻,杰森•斯坦森
        ",https://p0.meituan.net/movie/632e8039ca28809a6ab9d72673f388f3113539.jpg@160w_220h_1e_1c
86,网络谜踪,上映时间：2018-12-14,8.6,"
                主演：约翰·赵,米切尔·拉,黛博拉·梅辛
        ",https://p0.meituan.net/movie/36db8e805a15cc0475ebe3f0c9b56c9e782659.jpg@160w_220h_1e_1c
87,十二怒汉,上映时间：1957-04-13(美国),9.1,"
                主演：亨利·方达,李·科布,马丁·鲍尔萨姆
        ",https://p1.meituan.net/movie/961036f05fdfdd68fecb70fa0c579ca0238954.jpg@160w_220h_1e_1c
88,血战钢锯岭,上映时间：2016-12-08,9.3,"
                主演：安德鲁·加菲尔德,雨果·维文,卢克·布雷西
        ",https://p1.meituan.net/movie/611821c86367c6d9d0d663047407df59654543.jpg@160w_220h_1e_1c
89,时空恋旅人,上映时间：2013-09-04(英国),8.9,"
                主演：瑞秋·麦克亚当斯,多姆纳尔·格里森,比尔·奈伊
        ",https://p0.meituan.net/movie/55d9fcd5bc528636070c0307bac17037405534.jpg@160w_220h_1e_1c
90,真爱至上,上映时间：2003-11-21(英国),8.6,"
                主演：休·格兰特,比尔·奈伊,连姆·尼森
        ",https://p1.meituan.net/movie/11d86a5c644840374c7860f98ef19183264645.jpg@160w_220h_1e_1c
91,奇迹男孩,上映时间：2018-01-19,9.2,"
                主演：雅各布·特瑞布雷,朱莉娅·罗伯茨,欧文·威尔逊
        ",https://p0.meituan.net/movie/e5e49dad53d8cfba7316d486e799345c395906.jpg@160w_220h_1e_1c
92,1917,上映时间：2020-08-07,8.6,"
                主演：乔治·麦凯,迪恩·查尔斯·查普曼,马克·斯特朗
        ",https://p1.meituan.net/movie/48942d3afc4241455e7057427dcb16d62460030.jpg@160w_220h_1e_1c
93,蜘蛛侠：平行宇宙,上映时间：2018-12-21,8.8,"
                主演：沙梅克·摩尔,彭昱畅,杰克·M·约翰森
        ",https://p0.meituan.net/movie/ca9cfca03292e207ceea03904d2c02e61096852.jpg@160w_220h_1e_1c
94,大鱼,上映时间：2003-12-04(美国),8.6,"
                主演：伊万·麦克格雷格,阿尔伯特·芬尼,杰西卡·兰格
        ",https://p0.meituan.net/movie/0b1474181d53a328c2e87d018fa088b9241815.jpg@160w_220h_1e_1c
95,致命魔术,上映时间：2006-10-17(意大利),8.8,"
                主演：休·杰克曼,克里斯蒂安·贝尔,迈克尔·凯恩
        ",https://p1.meituan.net/movie/ef83b1e2ef6fa1e6f736521a356b829a334336.jpg@160w_220h_1e_1c
96,猫鼠游戏,上映时间：2003-04-11,8.6,"
                主演：莱昂纳多·迪卡普里奥,汤姆·汉克斯,克里斯托弗·沃肯
        ",https://p0.meituan.net/movie/8834e6905cba927646661ed25e9c95d1136086.jpg@160w_220h_1e_1c
97,饮食男女,上映时间：1994-08-03(美国),8.8,"
                主演：郎雄,吴倩莲,杨贵媚
        ",https://p1.meituan.net/movie/8d54378f5aa5891b27da166063fe5efe793583.jpg@160w_220h_1e_1c
98,模仿游戏,上映时间：2015-07-21,9.3,"
                主演：本尼迪克特·康伯巴奇,凯拉·奈特莉,马修·古迪
        ",https://p0.meituan.net/moviemachine/8265143afdbafba9d3ad7993bc3472e4508519.jpg@160w_220h_1e_1c
99,钢琴家,上映时间：2002-05-24(法国),8.9,"
                主演：艾德里安·布洛迪,艾米莉娅·福克斯,米哈乌·热布罗夫斯基
        ",https://p0.meituan.net/movie/389d81144eab106ac08c870bb4e366be547402.jpg@160w_220h_1e_1c
