"",电影名称,电影类型,导演,主演,评价人数,评分,国家/地区,年代
47,听说 聽說,剧情 / 爱情,郑芬芬,彭于晏 / 陈意涵 / 陈妍希,352573,8.1,中国台湾,21世纪00年代
48,纯真年代 The Age of Innocence,剧情 / 爱情,马丁·斯科塞斯,丹尼尔·戴-刘易斯 / 米歇尔·菲佛 / 薇诺娜·瑞德,46900,8.2,美国,20世纪90年代
49,非常公寓 L'appartement,剧情 / 悬疑 / 爱情,吉勒斯·米莫尼,罗曼娜·波琳热 / 文森特·卡索 / 让-菲利普·艾科菲,18626,8.2,法国/西班牙/意大利,20世纪90年代
50,去年在马里昂巴德 L'année dernière à Marienbad,剧情 / 爱情 / 悬疑,阿伦·雷乃,德菲因·塞里格 / 乔治·阿尔贝塔齐 / 萨夏·皮托埃夫,15434,8.2,法国/意大利,20世纪60年代
51,小鬼当街 Baby's Day Out,喜剧 / 冒险,帕特里克·里德·约翰逊,亚当·罗伯特·沃顿 / 雅各布·约瑟夫·沃顿 / 乔·曼特纳,43170,8.2,美国,20世纪90年代
52,第三人 The Third Man,黑色电影 / 悬疑 / 惊悚,卡罗尔·里德,约瑟夫·科顿 / 阿莉达·瓦利 / 奥逊·威尔斯,16642,8.2,英国,20世纪40年代
53,不准掉头 U Turn,犯罪 / 剧情 / 惊悚,奥利佛·斯通,西恩·潘 / 尼克·诺特 / 詹妮弗·洛佩兹,12491,8.0,法国/美国,20世纪90年代
54,死亡实验 Das Experiment,剧情 / 惊悚,奥利弗·希施比格尔,莫里兹·布雷多 / 克里斯蒂安·贝克尔 / 奥列佛·斯托科斯基,27333,8.0,德国,21世纪00年代
55,为黛西小姐开车 Driving Miss Daisy,喜剧 / 剧情,布鲁斯·贝尔斯福德,摩根·弗里曼 / 杰西卡·坦迪 / 丹·艾克罗伊德,27951,8.2,美国,20世纪80年代
56,龙纹身的女孩 The Girl with the Dragon Tattoo,剧情 / 犯罪 / 悬疑 / 惊悚,大卫·芬奇,丹尼尔·克雷格 / 鲁妮·玛拉 / 克里斯托弗·普卢默,203017,8.0,美国/瑞典/挪威,21世纪10年代
57,复仇者联盟 The Avengers,动作 / 科幻 / 奇幻 / 冒险,乔斯·韦登,小罗伯特·唐尼 / 克里斯·埃文斯 / 斯嘉丽·约翰逊,573253,8.2,美国,21世纪10年代
58,花魁 さくらん,剧情 / 历史,蜷川实花,土屋安娜 / 木村佳乃 / 安藤政信,73243,8.1,日本,21世纪00年代
59,万世魔星 Life of Brian,喜剧,特瑞·琼斯,格雷厄姆·查普曼 / 约翰·克立斯 / 特瑞·吉列姆,9138,8.0,英国,20世纪70年代
