"",电影名称,电影类型,导演,主演,评价人数,评分,国家/地区,年代
194,追击者 추격자,犯罪 / 剧情 / 惊悚,罗泓轸,河正宇 / 金允石 / 徐英姬,190395,8.4,韩国,21世纪00年代
195,异次元骇客 The Thirteenth Floor,科幻 / 悬疑 / 惊悚,约瑟夫·鲁斯纳克,克雷格·比尔克 / 阿明·缪勒-斯塔尔 / 格瑞辰·摩尔,85767,8.4,美国/德国,20世纪90年代
196,王牌对王牌 The Negotiator,动作 / 犯罪 / 剧情 / 悬疑 / 惊悚,F·加里·格雷,塞缪尔·杰克逊 / 凯文·史派西 / 大卫·摩斯,98583,8.5,美国/德国,20世纪90年代
197,赌城风云 Casino,传记 / 犯罪 / 剧情,马丁·斯科塞斯,罗伯特·德尼罗 / 莎朗·斯通 / 乔·佩西,33795,8.3,美国/法国,20世纪90年代
198,一级恐惧 Primal Fear,剧情 / 犯罪 / 悬疑,格里高利·霍布里特,理查·基尔 / 爱德华·诺顿 / 劳拉·琳妮,161552,8.5,美国,20世纪90年代
199,阳光下的罪恶 Evil Under the Sun,犯罪 / 悬疑,盖伊·汉弥尔顿,彼得·乌斯蒂诺夫 / 玛吉·史密斯 / 科林·布莱克利,29024,8.3,英国,20世纪80年代
200,桂河大桥 The Bridge on the River Kwai,剧情 / 历史 / 战争,大卫·里恩,威廉·霍尔登 / 亚历克·吉尼斯 / 杰克·霍金斯,20254,8.4,英国/美国,20世纪50年代
201,激辩风云 The Great Debaters,传记 / 剧情,丹泽尔·华盛顿,丹泽尔·华盛顿 / 内特·派克 / 朱尼·斯莫利特,20071,8.3,美国,21世纪00年代
202,荒野大镖客 Per un pugno di dollari,动作 / 西部,赛尔乔·莱昂内,克林特·伊斯特伍德 / 吉安·马里亚·沃隆特 / 沃尔夫冈·路卡西,47266,8.4,意大利/西班牙/西德,20世纪60年代
203,薄荷糖 박하사탕,剧情,李沧东,薛景求 / 文素丽 / 金汝珍,42474,8.4,韩国/日本,20世纪90年代
204,美好事物 Beautiful Thing,剧情 / 喜剧 / 爱情 / 同性,希提·麦克唐纳,林达亨利 / 格伦·贝里 / 斯考特·尼尔,10335,8.3,英国,20世纪90年代
205,星球大战 Star Wars,动作 / 科幻 / 冒险,乔治·卢卡斯,哈里森·福特 / 马克·哈米尔 / 凯丽·费雪,111521,8.4,美国,20世纪70年代
206,理智与情感 Sense and Sensibility,剧情 / 爱情,李安,艾玛·汤普森 / 凯特·温丝莱特 / 休·格兰特,104747,8.4,美国/英国,20世纪90年代
207,黑皮书 Zwartboek,剧情 / 惊悚 / 战争,保罗·范霍文,卡里斯·范·侯登 / 塞巴斯蒂安·科赫 / 汤姆·霍夫曼,64446,8.4,荷兰/德国/英国/比利时,21世纪00年代
208,我自己的爱达荷 My Own Private Idaho,剧情 / 爱情 / 同性,格斯·范·桑特,瑞凡·菲尼克斯 / 基努·里维斯 / 詹姆斯·拉索,52118,8.3,美国,20世纪90年代
209,新不了情,剧情 / 爱情,尔冬升,刘青云 / 袁咏仪 / 刘嘉玲,52231,8.3,中国香港,20世纪90年代
210,角斗士 Gladiator,剧情 / 动作 / 冒险,雷德利·斯科特,罗素·克劳 / 华金·菲尼克斯 / 康妮·尼尔森,185034,8.5,美国/英国/马耳他/摩洛哥,21世纪00年代
211,暗战 暗戰,动作 / 剧情 / 犯罪,杜琪峰,刘德华 / 刘青云 / 蒙嘉慧,191242,8.5,中国香港,20世纪90年代
212,兵临城下 Enemy at the Gates,剧情 / 历史 / 战争,让-雅克·阿诺,裘德·洛 / 艾德·哈里斯 / 蕾切尔·薇兹,155707,8.5,美国/德国/英国/爱尔兰,21世纪00年代
213,天生一对 The Parent Trap,儿童 / 喜剧 / 爱情 / 家庭,南希·迈耶斯,琳赛·洛翰 / 丹尼斯·奎德 / 娜塔莎·理查德森,153797,8.4,美国,20世纪90年代
214,星球大战3：绝地归来 Star Wars: Episode VI - Return of the Jedi,动作 / 科幻 / 冒险,理查德·马昆德,马克·哈米尔 / 哈里森·福特 / 安东尼·丹尼尔斯,77983,8.4,美国,20世纪80年代
