"",电影名称,电影类型,导演,主演,评价人数,评分,国家/地区,年代
386,永远的三丁目的夕阳2 ALWAYS 続・三丁目の夕日,剧情,山崎贵,吉冈秀隆 / 堤真一 / 小雪,15939,8.7,日本,21世纪00年代
387,瓦尔特保卫萨拉热窝 Валтер брани Сарајево,战争,哈伊鲁丁·克尔瓦瓦茨,韦利米尔·巴塔·日沃伊诺维奇 / 拉德·马尔科维奇 / 留比沙·萨马季奇,12954,8.7,南斯拉夫,20世纪70年代
388,光辉岁月 Remember the Titans,剧情 / 传记 / 运动,鲍兹·亚金,丹泽尔·华盛顿 / 威尔·帕顿 / 伍德·哈里斯,24439,8.6,美国,21世纪00年代
389,战场上的快乐圣诞 Merry Christmas Mr. Lawrence,剧情 / 战争 / 同性,大岛渚,大卫·鲍伊 / 汤姆·康蒂 / 坂本龙一,76688,8.8,英国/日本/新西兰,20世纪80年代
390,再见，孩子们 Au revoir les enfants,剧情 / 战争,路易·马勒,加斯帕·曼尼斯 / 拉斐尔·费伊特 / 弗朗辛·拉塞特,11859,8.6,法国/西德/意大利,20世纪80年代
391,千钧一发 Gattaca,剧情 / 科幻 / 惊悚,安德鲁·尼科尔,伊桑·霍克 / 乌玛·瑟曼 / 裘德·洛,205925,8.8,美国,20世纪90年代
392,2001太空漫游 2001: A Space Odyssey,科幻 / 惊悚 / 冒险,斯坦利·库布里克,凯尔·杜拉 / 加里·洛克伍德 / 威廉姆·西尔维斯特,232445,8.8,英国/美国,20世纪60年代
393,我们天上见,剧情 / 家庭,蒋雯丽,朱旭 / 姚君 / 朱一诺,60973,8.7,中国大陆,21世纪00年代
394,费城故事 Philadelphia,剧情 / 同性,乔纳森·戴米,汤姆·汉克斯 / 丹泽尔·华盛顿 / 罗伯塔·马克斯韦尔,86627,8.7,美国,20世纪90年代
395,杀人回忆 살인의 추억,剧情 / 动作 / 犯罪 / 悬疑 / 惊悚,奉俊昊,宋康昊 / 金相庆 / 金雷夏,536337,8.9,韩国,21世纪00年代
396,非常嫌疑犯 The Usual Suspects,犯罪 / 悬疑 / 惊悚,布莱恩·辛格,史蒂芬·鲍德温 / 加布里埃尔·伯恩 / 本尼西奥·德尔·托罗,211140,8.6,德国/美国,20世纪90年代
397,蝴蝶 Le papillon,剧情 / 儿童 / 喜剧,费利普·弥勒,米歇尔·塞罗尔 / 柯莱儿·布翁尼许 / 娜德·蒂约,109864,8.6,法国,21世纪00年代
398,真爱至上 Love Actually,喜剧 / 剧情 / 爱情,理查德·柯蒂斯,休·格兰特 / 科林·费尔斯 / 艾玛·汤普森,585404,8.6,英国/美国/法国,21世纪00年代
399,曼联重生 United,剧情,詹姆斯·斯特朗,大卫·田纳特 / 杰克·奥康奈尔 / 山姆·克拉弗林,7509,8.5,英国,21世纪10年代
