,电影名称,电影类型,导演,主演,评价人数,评分,国家/地区,年代,图片
123,蒂凡尼的早餐 Breakfast at Tiffany's,喜剧 / 剧情 / 爱情,布莱克·爱德华兹,奥黛丽·赫本 / 乔治·佩帕德 / 帕德里夏·妮尔,203219,8.1,美国,20世纪60年代,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1114467603.jpg
124,回归 Volver,喜剧 / 犯罪 / 剧情 / 悬疑,佩德罗·阿莫多瓦,佩内洛普·克鲁兹 / 卡门·毛拉 / 洛拉·杜埃尼亚斯,38782,8.1,西班牙,21世纪00年代,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2213137026.jpg
125,银河系漫游指南 The Hitchhiker's Guide to the Galaxy,冒险 / 喜剧 / 科幻,加斯·詹宁斯,马丁·弗瑞曼 / 茅斯·达夫 / 山姆·洛克威尔,105595,8.1,美国/英国,21世纪00年代,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1985335323.jpg
126,花与爱丽丝 花とアリス,剧情 / 喜剧 / 爱情,岩井俊二,铃木杏 / 苍井优 / 郭智博,178100,8.1,日本,21世纪00年代,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2196652087.jpg
127,四月物语 四月物語,爱情,岩井俊二,松隆子 / 田边诚一 / 藤井香织,150189,8.2,日本,20世纪90年代,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2107289058.jpg
128,大逃杀 バトル・ロワイアル,剧情 / 科幻 / 惊悚,深作欣二,藤原龙也 / 前田亚季 / 山本太郎,179931,8.0,日本,21世纪00年代,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1071682909.jpg
129,空房间 빈집,剧情 / 爱情 / 犯罪,金基德,在熙 / 李成延 / 李忠秀,143670,8.0,韩国,21世纪00年代,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p462432458.jpg
130,追风筝的人 The Kite Runner,剧情,马克·福斯特,赫立德·阿卜杜拉 / 阿托莎·利奥妮 / 肖恩·托布 ,146471,8.2,美国/中国大陆/英国/阿富汗,21世纪00年代,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p956325412.jpg
131,时光驻留 Le temps qui reste,剧情 / 同性,弗朗索瓦·欧容,梅尔维尔·珀波 / 让娜·莫罗 / 瓦莱丽亚·布鲁尼·泰德斯基,15836,8.1,法国,21世纪00年代,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2244194842.jpg
132,妖夜慌踪 Lost Highway,悬疑 / 惊悚,大卫·林奇,比尔·普尔曼 / 帕特丽夏·阿奎特 / 巴萨扎·盖提,24695,8.1,法国/美国,20世纪90年代,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2040157660.jpg
133,本X Ben X,剧情,尼克·巴斯阿扎,格雷格·提姆曼斯 / Laura Verlinden / Pol Goossen,11330,8.0,比利时/荷兰,21世纪00年代,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1751771543.jpg
