,电影名称,电影类型,导演,主演,评价人数,评分,国家/地区,年代,图片
23,海鸥食堂 かもめ食堂,喜剧 / 剧情,荻上直子,小林聪美 / 片桐入 / 罇真佐子,57008,8.3,日本,21世纪00年代,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p540502836.jpg
24,资产阶级的审慎魅力 Le Charme discret de la bourgeoisie,喜剧 / 剧情 / 奇幻,路易斯·布努埃尔,费尔南多·雷伊 / 保罗·弗朗克尔 / 德菲因·塞里格,21393,8.2,法国,20世纪70年代,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1712426795.jpg
25,生命因你动听 Mr. Holland's Opus,剧情 / 音乐,斯蒂芬·赫瑞克,理查德·德莱福斯 / 格伦妮·海德利 / 杰·托马斯,5753,8.5,美国,20世纪90年代,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1216701008.jpg
26,逍遥骑士 Easy Rider,剧情 / 冒险,丹尼斯·霍珀,彼得·方达 / 丹尼斯·霍珀 / 杰克·尼科尔森,19114,8.3,美国,20世纪60年代,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1379548347.jpg
27,蓝色大门 藍色大門,剧情 / 爱情 / 同性,易智言,陈柏霖 / 桂纶镁 / 梁又琳,359128,8.3,中国台湾/法国,21世纪00年代,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2562341754.jpg
28,我曾侍候过英国国王 Obsluhoval jsem anglického krále,剧情 / 喜剧 / 爱情 / 战争,伊日·门泽尔,伊万·博尔内夫 / 奥德里奇•凯瑟 / 尤莉亚·延奇,13088,8.3,捷克/斯洛伐克,21世纪00年代,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1538683478.jpg
29,英国病人 The English Patient,爱情 / 剧情 / 战争,安东尼·明格拉,拉尔夫·费因斯 / 朱丽叶·比诺什 / 威廉·达福,244199,8.5,美国/英国,20世纪90年代,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2408623752.jpg
30,阿飞正传 阿飛正傳,犯罪 / 剧情 / 爱情,王家卫,张国荣 / 张曼玉 / 刘嘉玲,408335,8.5,中国香港,20世纪90年代,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2525770523.jpg
31,出租车司机 Taxi Driver,剧情 / 犯罪,马丁·斯科塞斯,罗伯特·德尼罗 / 朱迪·福斯特 / 斯碧尔·谢波德,166918,8.5,美国,20世纪70年代,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p792510233.jpg
32,盗火线 Heat,剧情 / 动作 / 犯罪 / 惊悚,迈克尔·曼,阿尔·帕西诺 / 罗伯特·德尼罗 / 方·基默,98695,8.5,美国,20世纪90年代,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p792508289.jpg
33,偷拐抢骗 Snatch,喜剧 / 犯罪,盖·里奇,本尼西奥·德尔·托罗 / 丹尼斯·法里纳 / 维尼·琼斯,166576,8.5,英国/美国,21世纪00年代,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p616753227.jpg
34,暗花,犯罪 / 悬疑,游达志,刘青云 / 梁朝伟 / 邵美琪,80622,8.4,中国香港,20世纪90年代,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2159683290.jpg
35,尼罗河上的惨案 Death on the Nile,剧情 / 犯罪 / 悬疑,约翰·吉勒明,彼得·乌斯蒂诺夫 / 简·伯金 / 洛伊丝·奇利斯,87730,8.5,英国,20世纪70年代,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2366278130.jpg
36,坏孩子的天空 キッズ・リターン,剧情 / 犯罪 / 运动,北野武,金子贤 / 安藤政信 / 森本治行,79863,8.5,日本,20世纪90年代,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2460951078.jpg
37,铁皮鼓 Die Blechtrommel,剧情 / 历史 / 战争,沃尔克·施隆多夫,马里奥·阿多夫 / 安吉拉·温科勒 / 大卫·本奈特,47401,8.3,西德/波兰/法国/南斯拉夫,20世纪70年代,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1792296798.jpg
38,茜茜公主2 Sissi - Die junge Kaiserin,剧情 / 历史 / 爱情,恩斯特·马里施卡,罗密·施奈德 / 卡尔海因茨·伯姆 / 玛格达·施奈德,34596,8.4,奥地利,20世纪50年代,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2160427412.jpg
39,茜茜公主3 Sissi - Schicksalsjahre einer Kaiserin,剧情 / 历史 / 爱情,恩斯特·马里施卡,罗密·施奈德 / 卡尔海因茨·伯姆 / 玛格达·施奈德,28429,8.4,奥地利,20世纪50年代,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2539792218.jpg
40,愤怒的公牛 Raging Bull,剧情 / 传记 / 运动,马丁·斯科塞斯,罗伯特·德尼罗 / 凯西·莫拉蒂 / 乔·佩西,45584,8.4,美国,20世纪80年代,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2427118378.jpg
41,K星异客 K-PAX,剧情 / 科幻,伊恩·索夫特雷,凯文·史派西 / 杰夫·布里吉斯 / 玛丽·麦克科马克,83786,8.5,美国/德国,21世纪00年代,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p792526748.jpg
42,东京日和 東京日和,剧情,竹中直人,竹中直人 / 中山美穗 / 荒木经惟,13717,8.3,日本,20世纪90年代,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2552418230.jpg
