,电影名称,电影类型,导演,主演,评价人数,评分,国家/地区,年代,图片
10,教父 The Godfather,剧情 / 犯罪,弗朗西斯·福特·科波拉,马龙·白兰度 / 阿尔·帕西诺 / 詹姆斯·肯恩,765807,9.3,美国,20世纪70年代,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p616779645.jpg
11,乱世佳人 Gone with the Wind,剧情 / 历史 / 爱情 / 战争,维克多·弗莱明 / 乔治·库克 / 山姆·伍德,费雯·丽 / 克拉克·盖博 / 奥利维娅·德哈维兰,563026,9.3,美国,20世纪30年代,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1963126880.jpg
12,城市之光 City Lights,喜剧 / 剧情 / 爱情,查理·卓别林,查理·卓别林 / 弗吉尼亚·切瑞尔 / 佛罗伦斯·李,109605,9.3,美国,20世纪30年代,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2170238828.jpg
13,末代皇帝 The Last Emperor,剧情 / 传记 / 历史,贝纳尔多·贝托鲁奇,尊龙 / 陈冲 / 邬君梅,656812,9.3,英国/意大利/中国大陆/法国,20世纪80年代,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p452089833.jpg
14,地下 Подземље,剧情 / 战争,埃米尔·库斯图里卡,米基·马诺伊洛维奇 / 拉扎尔·里斯托夫斯基 / 米里亚娜·约科维奇,45394,9.2,南斯拉夫/法国/德国/保加利亚/捷克/匈牙利/英国/美国,20世纪90年代,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1833776334.jpg
15,洞 Le trou,犯罪 / 剧情 / 惊悚,雅克·贝克,马克·米歇尔 / 吉恩·凯乐蒂 / 菲利普·勒鲁瓦,38975,9.2,法国/意大利,20世纪60年代,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2497389079.jpg
16,海上钢琴师 La leggenda del pianista sull'oceano,剧情 / 音乐,朱塞佩·托纳多雷,蒂姆·罗斯 / 普路特·泰勒·文斯 / 比尔·努恩,1384989,9.3,意大利,20世纪90年代,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2574551676.jpg
17,三傻大闹宝莱坞 3 Idiots,剧情 / 喜剧 / 爱情 / 歌舞,拉吉库马尔·希拉尼,阿米尔·汗 / 卡琳娜·卡普尔 / 马达范,1556381,9.2,印度,21世纪00年代,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p579729551.jpg
18,放牛班的春天 Les choristes,剧情 / 喜剧 / 音乐,克里斯托夫·巴拉蒂,热拉尔·朱尼奥 / 让-巴蒂斯特·莫尼耶 / 弗朗索瓦·贝莱昂,1078758,9.3,法国/瑞士/德国,21世纪00年代,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910824951.jpg
19,搏击俱乐部 Fight Club,剧情 / 动作 / 悬疑 / 惊悚,大卫·芬奇,爱德华·诺顿 / 布拉德·皮特 / 海伦娜·伯翰·卡特,699338,9.0,美国/德国/意大利,20世纪90年代,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1910926158.jpg
